entry_time,exit_time,direction,entry_price,exit_price,sl,tp,size,pnl,duration_bars,exit_reason
2024-07-11 08:15:00+00:00,2024-07-11 15:20:00+00:00,long,2383.19439,2422.72736,2355.88648,2422.76388,211493.03,3465.9962,85,tp
2024-07-11 15:25:00+00:00,2024-07-11 16:00:00+00:00,long,2421.4315,2418.46855,2385.81465,2473.22631,217220.42,-309.2427,7,signal
2024-07-12 16:25:00+00:00,2024-07-19 00:00:00+00:00,long,2414.65139,2431.06278,2380.08294,2464.73046,199197.55,1314.0236,55,signal
2024-07-19 10:10:00+00:00,2024-07-24 00:00:00+00:00,short,2411.92865,2409.40621,2453.83125,2351.46101,219541.45,185.6917,706,signal
2024-07-30 07:10:00+00:00,2024-07-31 12:00:00+00:00,long,2391.34456,2419.12854,2354.44607,2444.20612,219869.23,2510.5898,334,signal
2024-08-05 12:25:00+00:00,2024-08-12 07:55:00+00:00,short,2369.62928,2441.70484,2441.65423,2265.46257,224394.76,-6870.156,1326,sl
2024-08-16 17:25:00+00:00,2024-08-19 00:00:00+00:00,long,2497.89977,2505.33935,2454.83772,2560.24829,204379.98,567.836,67,signal
2024-08-26 07:05:00+00:00,2024-09-03 13:40:00+00:00,long,2515.96292,2480.78061,2480.83202,2566.80471,213049.6,-3021.8181,1705,sl
2024-09-05 12:25:00+00:00,2024-09-13 04:00:00+00:00,long,2519.65022,2567.55276,2484.16483,2571.01014,207608.9,3905.4524,1555,signal
2024-09-30 07:50:00+00:00,2024-10-01 12:00:00+00:00,short,2652.98501,2651.78996,2693.344,2594.7398,183493.64,45.9573,326,signal
2024-10-04 11:50:00+00:00,2024-10-08 14:25:00+00:00,long,2661.46811,2627.71779,2627.77225,2710.31459,214723.49,-2765.8735,559,sl
2024-10-15 07:30:00+00:00,2024-10-18 01:35:00+00:00,long,2651.99497,2704.55335,2615.61689,2704.63998,209734.8,4114.6674,757,tp
2024-10-18 09:30:00+00:00,2024-10-23 20:00:00+00:00,long,2712.03588,2715.96706,2675.86667,2764.35133,217148.06,271.3337,954,signal
2024-10-29 13:50:00+00:00,2024-11-01 00:00:00+00:00,long,2762.80664,2746.8782,2725.50117,2816.87297,217639.78,-1298.2892,386,signal
2024-11-01 07:15:00+00:00,2024-11-04 20:00:00+00:00,short,2750.18355,2737.14173,2786.80134,2697.19462,215301.55,977.935,417,signal
2024-11-11 09:20:00+00:00,2024-11-12 07:35:00+00:00,short,2667.1448,2599.44137,2713.94659,2599.3875,215992.72,5439.6112,255,tp
2024-11-12 07:40:00+00:00,2024-11-20 15:15:00+00:00,short,2597.50585,2648.23824,2648.19832,2524.10505,226854.74,-4476.1149,1747,sl
2024-11-26 07:30:00+00:00,2024-11-29 00:00:00+00:00,short,2615.90079,2637.87576,2682.73842,2519.17775,218797.73,-1881.7781,708,signal
2024-12-02 11:15:00+00:00,2024-12-16 00:00:00+00:00,long,2639.82971,2650.32266,2593.03361,2707.54321,215406.76,813.1299,1233,signal
2024-12-16 15:15:00+00:00,2024-12-17 16:00:00+00:00,short,2652.85801,2638.61968,2693.11134,2594.56266,216874.16,1120.6249,285,signal
2024-12-19 12:20:00+00:00,2024-12-24 08:00:00+00:00,short,2613.36561,2617.89446,2663.16485,2541.26045,218876.87,-423.0794,500,signal
2024-12-24 16:35:00+00:00,2025-01-08 14:35:00+00:00,long,2617.08445,2666.24112,2583.17001,2666.28131,212248.24,3944.2072,2408,tp
2025-01-08 14:40:00+00:00,2025-01-16 13:50:00+00:00,long,2666.17419,2717.24522,2631.03514,2717.30153,225228.82,4269.2516,1094,tp
2025-01-16 13:55:00+00:00,2025-01-24 02:15:00+00:00,long,2717.90433,2769.82392,2681.91075,2769.95178,232913.54,4402.7191,1228,tp
2025-01-24 11:35:00+00:00,2025-01-27 12:00:00+00:00,long,2778.87259,2771.42323,2744.52277,2828.60724,240838.48,-693.7868,281,signal
2025-01-28 08:15:00+00:00,2025-01-28 20:00:00+00:00,short,2737.79373,2764.69667,2774.60677,2684.54578,239416.93,-2400.5144,141,signal
2025-01-30 12:40:00+00:00,2025-02-03 14:50:00+00:00,long,2779.58989,2828.68486,2745.76368,2828.74348,235216.7,4107.5101,578,tp
2025-02-03 14:55:00+00:00,2025-02-05 08:00:00+00:00,long,2829.05064,2865.07562,2784.33782,2894.01824,242564.28,3040.2878,469,signal
2025-02-07 14:25:00+00:00,2025-02-11 02:10:00+00:00,long,2871.47128,2940.41883,2823.74972,2940.55457,238652.64,5682.6128,405,tp
2025-02-13 12:15:00+00:00,2025-02-14 16:00:00+00:00,long,2919.3455,2901.05127,2870.20147,2990.47348,258359.93,-1670.6977,321,signal
2025-02-18 16:45:00+00:00,2025-02-27 08:05:00+00:00,long,2930.87917,2887.75427,2887.7978,2993.15919,255347.82,-3808.2529,1828,sl
2025-02-28 08:20:00+00:00,2025-03-04 08:10:00+00:00,short,2854.26198,2901.95048,2901.89034,2785.31317,248501.59,-4201.621,550,sl
