entry_time,exit_time,direction,entry_price,exit_price,sl,tp,size,pnl,duration_bars,exit_reason,win
2024-12-24 16:35:00+00:00,2024-12-29 23:55:00+00:00,long,2617.07881,2623.67598,2583.17001,2666.28131,226012.05,524.5322,576,timeout,True
2025-01-02 09:05:00+00:00,2025-01-06 11:05:00+00:00,long,2638.20808,2633.36398,2607.31083,2683.0681,233217.0,-474.8604,576,timeout,False
2025-01-07 11:05:00+00:00,2025-01-09 13:05:00+00:00,long,2645.34198,2673.39947,2610.48228,2695.65324,232363.5,2418.061,576,timeout,True
2025-01-09 13:25:00+00:00,2025-01-14 15:25:00+00:00,long,2675.15956,2670.8205,2639.90238,2726.14368,236716.42,-431.2928,576,timeout,False
2025-01-16 08:20:00+00:00,2025-01-21 11:20:00+00:00,long,2701.6999,2717.17674,2667.61091,2751.06298,235940.19,1304.4085,576,timeout,True
2025-01-21 12:25:00+00:00,2025-01-23 14:25:00+00:00,long,2725.43321,2744.70954,2688.77668,2778.49359,238287.86,1637.6956,576,timeout,True
2025-01-24 11:35:00+00:00,2025-01-27 12:00:00+00:00,long,2778.86436,2771.4292,2744.52277,2828.60724,241235.95,-693.7005,281,signal,False
2025-01-28 08:15:00+00:00,2025-01-28 20:00:00+00:00,short,2737.79963,2764.69071,2774.60677,2684.54578,239814.27,-2403.4546,141,signal,False
2025-01-30 12:40:00+00:00,2025-02-03 14:40:00+00:00,long,2779.58391,2818.33494,2745.76368,2828.74348,235608.95,3237.5751,576,timeout,True
2025-02-03 14:50:00+00:00,2025-02-05 08:00:00+00:00,long,2826.05519,2865.08411,2781.23482,2890.91524,241391.2,3285.4277,470,signal,True
2025-02-07 14:25:00+00:00,2025-02-11 02:10:00+00:00,long,2871.46509,2940.43824,2823.74972,2940.55457,237948.33,5667.9754,405,tp,True
2025-02-13 12:15:00+00:00,2025-02-14 16:00:00+00:00,long,2919.33685,2901.05752,2870.20147,2990.47348,257601.3,-1664.4819,321,signal,False
2025-02-18 16:45:00+00:00,2025-02-20 18:45:00+00:00,long,2930.87286,2941.22701,2887.7978,2993.15919,254600.39,848.5286,576,timeout,True
2025-02-24 18:20:00+00:00,2025-02-25 15:30:00+00:00,long,2945.60305,2900.86231,2900.91383,3010.3027,256125.24,-3941.5093,242,sl,False
2025-02-28 08:20:00+00:00,2025-03-04 08:10:00+00:00,short,2854.26813,2901.94188,2901.89034,2785.31317,249041.62,-4209.4559,550,sl,False
2025-03-06 14:50:00+00:00,2025-03-12 17:50:00+00:00,long,2914.33265,2937.29583,2863.04279,2988.52975,224532.21,1724.2718,576,timeout,True
2025-03-13 09:20:00+00:00,2025-03-13 16:00:00+00:00,long,2945.02731,2977.17654,2903.68969,3004.8327,243473.63,2609.1721,80,signal,True
2025-03-18 07:15:00+00:00,2025-03-21 04:00:00+00:00,long,3018.03399,3030.06482,2978.94138,3074.78856,249257.67,943.7683,237,signal,True
2025-03-27 08:10:00+00:00,2025-03-28 04:00:00+00:00,long,3037.30423,3074.02062,2997.383,3094.96561,250963.19,2983.5701,226,signal,True
2025-04-04 08:05:00+00:00,2025-04-07 17:00:00+00:00,short,3090.84507,2966.19953,3177.02132,2966.14685,256334.18,10286.007,383,tp,True
2025-04-07 17:05:00+00:00,2025-04-09 14:15:00+00:00,short,2966.26031,3079.57922,3079.52452,2802.05027,274848.99,-10554.9202,518,sl,False
2025-04-23 13:00:00+00:00,2025-04-25 15:00:00+00:00,short,3310.48224,3279.82737,3441.48744,3120.79551,255850.13,2317.987,576,timeout,True
2025-04-28 07:05:00+00:00,2025-04-30 09:10:00+00:00,short,3280.13674,3284.71743,3388.83323,3122.1954,260022.51,-415.1244,576,timeout,False
2025-04-30 19:25:00+00:00,2025-05-04 22:25:00+00:00,short,3300.07237,3239.99317,3391.08368,3167.95416,259275.29,4668.3602,576,timeout,True
2025-05-09 14:15:00+00:00,2025-05-13 16:15:00+00:00,short,3321.516,3255.54705,3418.44098,3181.08442,267678.33,5262.8496,576,timeout,True
2025-05-14 11:55:00+00:00,2025-05-16 13:55:00+00:00,short,3225.50771,3180.25608,3306.10425,3108.8438,277151.46,3832.8118,576,timeout,True
2025-05-28 11:15:00+00:00,2025-05-30 13:15:00+00:00,short,3309.48922,3298.13358,3374.62446,3214.95161,284050.52,917.8342,576,timeout,True
2025-05-30 13:55:00+00:00,2025-05-30 16:00:00+00:00,short,3280.84673,3289.7905,3351.40817,3178.791,255256.55,-746.8948,25,signal,False
2025-06-06 14:00:00+00:00,2025-06-10 16:00:00+00:00,short,3342.89182,3327.10798,3415.10497,3238.27454,284170.91,1284.9108,576,signal,True
2025-06-11 20:30:00+00:00,2025-06-12 00:00:00+00:00,long,3352.72831,3363.18268,3286.2509,3448.91414,185190.77,540.4178,30,signal,True
2025-06-17 14:35:00+00:00,2025-06-19 16:35:00+00:00,short,3375.43805,3368.66851,3447.5262,3271.06759,287643.81,519.3486,576,timeout,True
2025-06-30 09:10:00+00:00,2025-07-01 10:00:00+00:00,short,3281.43561,3342.19781,3342.13845,3193.55368,288577.41,-5401.2905,238,sl,False
