timestamp,open,high,low,close
1676746800000,1841.898,1841.898,1841.898,1841.898
1676750400000,1841.898,1841.898,1841.898,1841.898
1676754000000,1841.898,1841.898,1841.898,1841.898
1676757600000,1841.898,1841.898,1841.898,1841.898
1676761200000,1841.898,1841.898,1841.898,1841.898
1676764800000,1841.898,1841.898,1841.898,1841.898
1676768400000,1841.898,1841.898,1841.898,1841.898
1676772000000,1841.898,1841.898,1841.898,1841.898
1676775600000,1841.898,1841.898,1841.898,1841.898
1676779200000,1841.898,1841.898,1841.898,1841.898
1676782800000,1841.898,1841.898,1841.898,1841.898
1676786400000,1841.898,1841.898,1841.898,1841.898
1676790000000,1841.898,1841.898,1841.898,1841.898
1676793600000,1841.898,1841.898,1841.898,1841.898
1676797200000,1841.898,1841.898,1841.898,1841.898
1676800800000,1841.898,1841.898,1841.898,1841.898
1676804400000,1841.898,1841.898,1841.898,1841.898
1676808000000,1841.898,1841.898,1841.898,1841.898
1676811600000,1841.898,1841.898,1841.898,1841.898
1676815200000,1841.898,1841.898,1841.898,1841.898
1676818800000,1841.898,1841.898,1841.898,1841.898
1676822400000,1841.898,1841.898,1841.898,1841.898
1676826000000,1841.898,1841.898,1841.898,1841.898
1676829600000,1841.898,1841.898,1841.898,1841.898
1676833200000,1841.898,1841.898,1841.898,1841.898
1676836800000,1841.898,1841.898,1841.898,1841.898
1676840400000,1841.898,1841.898,1841.898,1841.898
1676844000000,1841.898,1841.898,1841.898,1841.898
1676847600000,1840.407,1841.798,1838.325,1838.595
1676851200000,1838.585,1839.255,1837.145,1838.825
1676854800000,1838.795,1841.725,1837.898,1840.335
1676858400000,1840.305,1843.075,1839.365,1842.225
1676862000000,1842.235,1842.945,1841.298,1842.695
1676865600000,1842.705,1844.708,1842.285,1842.505
1676869200000,1842.585,1844.745,1841.045,1844.365
1676872800000,1844.338,1845.498,1843.015,1843.905
1676876400000,1843.865,1846.215,1842.628,1845.955
1676880000000,1845.955,1847.405,1840.995,1843.585
1676883600000,1843.575,1845.665,1843.078,1843.708
1676887200000,1843.674,1844.698,1842.765,1843.345
1676890800000,1843.365,1845.865,1843.175,1844.725
1676894400000,1844.788,1844.905,1842.695,1842.805
1676898000000,1842.815,1846.725,1842.535,1846.258
1676901600000,1846.268,1846.945,1844.388,1846.335
1676905200000,1846.325,1846.495,1842.225,1843.104
1676908800000,1843.104,1843.955,1842.448,1842.648
1676912400000,1842.648,1842.868,1840.655,1840.755
1676916000000,1840.755,1841.505,1840.344,1840.675
1676919600000,1840.675,1841.194,1840.665,1840.965
1676923200000,1840.965,1840.965,1840.965,1840.965
1676926800000,1840.965,1840.965,1840.965,1840.965
1676930400000,1840.965,1840.965,1840.965,1840.965
1676934000000,1841.304,1842.725,1841.254,1841.675
1676937600000,1841.655,1843.725,1840.375,1841.545
1676941200000,1841.565,1842.925,1839.895,1842.168
1676944800000,1842.178,1843.335,1840.824,1841.325
1676948400000,1841.345,1841.925,1837.015,1838.385
1676952000000,1838.365,1839.118,1837.075,1839.025
1676955600000,1839.025,1839.695,1837.015,1839.685
1676959200000,1839.685,1839.685,1837.545,1838.655
1676962800000,1838.655,1838.658,1833.475,1834.675
1676966400000,1834.645,1835.785,1830.995,1834.655
1676970000000,1834.645,1836.645,1832.405,1835.375
1676973600000,1835.368,1836.225,1832.105,1833.165
1676977200000,1833.165,1835.245,1832.375,1833.765
1676980800000,1833.775,1834.215,1830.095,1833.125
1676984400000,1833.115,1836.985,1832.605,1836.574
1676988000000,1836.564,1843.738,1833.915,1834.914
1676991600000,1834.914,1842.158,1834.124,1838.645
1676995200000,1838.658,1839.385,1832.694,1832.925
1676998800000,1832.915,1837.108,1832.065,1836.615
1677002400000,1836.565,1837.375,1831.625,1833.215
1677006000000,1833.205,1834.298,1831.915,1833.948
1677009600000,1833.948,1836.338,1833.844,1834.595
1677013200000,1834.605,1835.424,1834.155,1834.675
1677016800000,1834.675,1834.675,1834.675,1834.675
1677020400000,1834.424,1835.995,1834.204,1835.435
1677024000000,1835.425,1836.968,1834.845,1836.828
1677027600000,1836.828,1838.335,1834.948,1836.215
1677031200000,1836.205,1837.505,1835.195,1835.865
1677034800000,1835.875,1837.055,1834.985,1836.115
1677038400000,1836.115,1836.795,1835.168,1836.425
1677042000000,1836.435,1837.165,1834.458,1836.905
